nombre de la columna,numero de valores,numero de valores únicos
cve_expediente,828542,546223
cve_contrato,828542,828542
status,826928,4
description_award,789388,356977
title_award,828541,353217
contract_start_date,828542,77502
contract_end_date,828316,19360
value_amount,828542,473964
value_currency,828542,6
suppliers_id,828528,111133
suppliers_name,828542,116179
docs_url_awards,140262,68820
docs_title_awards,140262,53649
docs_language_awards,140262,1
docs_id_awards,140262,68837
docs_format_awards,140262,1
docs_type_awards,140262,1
docs_descr_awards,140262,1
docs_date_published_awards,140262,64865
